3000 20000
1641 2308 -2260
-1892 1687 2423
2976 -2719 2393
-330 2004 -930
1249 227 -2972
-1685 793 2048
-1649 1588 -1294
-2253 422 -535
-1637 -1691 -114
-2977 2720 -1370
-288 2837 1539
-509 -1261 1511
1633 2143 -1341
438 -469 -2449
-1415 1200 1327
2739 -2796 -1362
-2756 -896 694
-252 -723 1430
2684 -1859 1766
403 2216 -1137
-1151 -2629 -1784
1648 1763 2194
56 -2320 -2274
-2089 -2258 1645
-1221 2211 1675
-807 302 -346
2052 -462 1299
-2728 -1092 2995
-187 135 -2574
-2107 2234 -208
-1459 -298 -2748
2574 1447 2365
543 1453 -2545
-402 -981 -1437
-1170 -743 2019
-1150 1307 2808
537 1743 -97
-2715 -1289 858
-1388 -1672 590
-2039 -1505 132
-1343 1507 452
2283 -1120 613
-2677 2547 -875
473 -1119 1921
2740 1727 -329
1392 859 1127
-2203 1905 482
-631 663 -2786
-2167 709 2046
2637 -2809 2946
216 2951 -1334
2236 -1747 1457
211 -5 2024
-2910 -1441 -2442
2203 943 2091
-2066 2048 -2588
-307 -1488 -182
-2905 632 1557
-608 -2256 2062
-493 -1171 302
-329 -1091 -733
-1677 -684 1601
537 -1771 -693
1407 1029 -2479
1362 1674 412
1785 -1563 -585
1407 -2777 1886
28 -1929 -531
1596 -34 -752
-102 1581 1036
-2622 -1241 -88
-898 -2310 -1136
2278 899 -1143
-1235 1574 1626
2722 -1480 -633
-2450 2838 -1637
-1588 93 -1017
1332 -2407 -1544
352 -2754 -667
-1351 -2090 -1057
-505 -1537 -1289
2450 -484 -2344
-1632 1883 -2272
556 1792 -838
-772 -1716 -1899
1159 653 2930
2805 -2260 2552
2922 -2905 -2279
919 -2754 1407
-2306 1144 -346
-1333 2296 -2445
2210 1641 1946
2189 -1669 1385
-1930 1355 -1950
372 63 -260
-2453 -641 1627
2495 2903 1843
2151 -2032 612
-505 2139 -170
2348 -128 241
-1946 824 583
-1829 -1965 -3000
2043 2936 1150
-2880 1071 998
1502 504 662
-2251 1071 -2196
-2713 -1821 -197
-7 1189 416
-2740 -2566 -2894
2030 2488 -1034
-318 -1170 910
-2177 -1541 -2019
-1782 631 1512
2058 -1958 -194
1539 -864 -2629
-2753 -75 826
-159 1762 2339
-691 -1845 -2993
-1600 36 -2075
805 2568 375
1971 396 247
-1238 416 1587
665 -158 -2672
1153 2192 332
1356 -2558 739
2490 -2430 15
1145 -2635 -731
1638 2519 -1411
-931 1783 2892
-515 -490 -2829
-2110 2957 2049
1845 -2367 -2998
1949 2068 255
1297 1282 -1353
-1097 -1185 1453
-2461 -2790 -2144
1275 1614 1047
-2348 -1660 -1842
2939 2869 1582
2647 1862 -1135
-1789 -741 -1342
-1040 -1476 1528
1380 239 -78
1137 -328 2059
-180 927 1333
182 863 -1718
2846 882 109
-284 -2930 681
728 -987 -2470
956 2591 -126
87 -1286 2187
-2226 661 -1529
-2462 2335 1933
2628 -1306 1834
50 -543 1587
261 -2390 -1057
363 -585 1664
-1355 -2225 -1675
-1782 -43 -999
-1627 -662 1801
509 -1709 -2458
-2430 13 -974
-357 1875 99
2695 -12 -887
-1581 -2203 -918
-2034 -2898 -781
1798 -2966 1704
2993 -2547 -2445
2824 -2418 -2256
-2076 -1321 1217
-240 589 2861
1071 -2983 -18
1753 921 1372
-2359 -1978 1151
-1920 -1067 774
176 -1786 -1704
1445 -816 182
-455 2435 2828
-1504 -1432 2123
-2976 2287 871
908 1812 -2808
1976 -1299 457
1087 -1199 1949
-682 -1965 -168
-361 -1799 1524
1796 9 -259
1337 -2332 1556
-296 -901 2565
-2558 2601 235
-376 497 -2631
1844 -1908 -1202
2712 -187 1543
2080 -469 -1196
2654 -331 -1209
1705 2852 -847
-1062 149 230
-59 -1186 -1296
-1756 1167 -2497
1541 2410 -2750
-2842 -1351 1149
881 1689 -2532
2270 1820 -294
-113 2248 1390
-1690 953 2517
947 267 -2623
-2160 -229 2912
2894 2551 -760
-877 -2256 -851
-2120 -483 -2500
1211 -2303 -2176
1997 -962 2386
-2643 822 -1825
942 164 -64
-319 -1624 -1008
989 1779 2828
2157 -1559 -404
-2543 -476 -1947
-2821 -1121 171
74 -535 -2872
-824 -1055 -2343
1774 2790 268
530 -2896 -1016
-1733 218 838
-2433 -234 1866
-131 2226 -537
-1715 2105 -1670
2626 2374 -234
-366 1690 -2173
-2362 1459 1180
923 -607 1570
2564 -191 -520
-1037 -966 -2662
2852 2530 1057
1853 1174 2981
-2129 2231 -350
1600 2940 -1793
-478 1089 61
-1759 -2592 -1433
-1081 -1405 2532
-1536 -1540 -2420
2961 1063 -2796
1193 2865 -1906
-1528 1177 -949
-2211 -2763 -43
-2386 -2851 2068
-277 2 303
2691 2697 -1576
-896 -1059 1054
-1948 2782 -1631
-2882 2274 -2574
175 -520 2648
-1122 1618 2521
1251 221 -306
725 249 715
-643 -2360 -516
-2958 -1779 1897
-1841 -1865 -31
-2333 1527 2544
1963 394 2818
2074 -979 -60
-2315 2334 -1870
1712 -192 89
1230 2371 -1956
-970 103 20
-2333 -2109 -402
166 -1723 1386
-1064 493 2347
-405 2231 1123
2193 -195 -2758
-1192 -1808 -2265
-1522 -1875 481
2872 -1408 -334
52 -249 2671
-447 -51 -2183
-873 -1676 -1274
382 -631 -1760
-1562 2649 1586
-2005 1265 -595
-919 2476 1120
-43 -1740 74
2464 1392 -1818
2804 1620 -769
2172 1121 1782
217 -886 1318
-2219 -1342 1022
2684 -1818 -712
-469 1414 -1954
1594 1722 1063
-1708 -1687 2115
-962 1037 -1516
-2964 2827 172
-914 -2869 1901
-1796 616 1071
-833 -2642 -974
2509 2107 -2723
223 1754 2569
2160 2409 -1988
-23 1558 -2294
-1061 298 -1656
676 2656 2229
-114 2514 210
2793 -1044 1791
-2786 -1835 -1598
-2787 1626 -1698
580 847 2199
-2642 2744 2399
753 -1091 -2910
236 -1996 678
2163 286 546
20 -1752 -698
-2267 553 521
1829 697 -2548
1569 -197 2108
-2498 1380 1445
-237 2903 283
2606 -1678 -593
-1646 -417 2093
2859 -1927 2770
-2550 -2243 948
-1205 -2453 -1881
-228 1205 -1507
-657 1973 -285
-966 929 1513
892 -2148 1075
625 1884 -2157
-456 -1889 1946
-2752 565 -85
433 558 -945
-1087 1140 -1557
2336 -331 346
417 834 -1358
1762 2261 1255
635 559 -304
-2798 -1365 2185
1401 947 900
-2947 1264 -2144
950 1780 -1242
-446 -282 -1724
-1639 -279 877
2842 -2986 803
-122 2760 1771
1996 1263 -2564
-1146 920 238
1309 -2829 2069
-484 -2900 -2708
262 628 -2468
1618 2651 1709
-1291 -1554 -1786
1079 1444 630
2405 1887 -1096
158 -2155 -2747
2588 -444 -2636
2708 -1445 649
947 600 1751
408 -1273 110
-680 1112 -71
-88 2438 -2026
-346 -595 -2511
1481 1235 2451
150 2509 1145
1955 -1424 -2102
-1539 250 -1086
-1998 -335 1198
1996 781 1357
-617 -843 -1842
1133 -1547 666
-21 -371 -2637
368 -1881 -2664
-784 2761 -2792
-807 -513 2292
1183 171 -248
1375 676 2205
148 -1991 -2916
-382 -2593 224
711 -1653 -1976
1830 2540 2943
-2519 -2230 1023
-1382 -1215 -2688
452 -1330 2752
-564 2514 -679
-415 1958 898
-2770 560 2160
-1307 -1508 2419
-919 498 -1878
-1299 -338 2583
-1309 -1284 712
-454 1131 -1472
1883 -101 -102
1839 1316 -2519
-2131 -563 -2197
-2740 -1026 -2577
1241 -1679 -1712
-1500 -2780 2166
1199 -2976 -2952
-951 -555 -728
656 2375 -2866
2148 -2494 -2317
272 -515 2964
829 -429 -1672
-2009 -2720 2149
-2173 -2056 -208
1871 2030 99
331 1092 894
2596 -1620 1296
-171 -41 -574
-1498 -1190 1937
-1568 -211 1320
953 -2031 -147
722 -1254 1376
-486 2169 -626
2384 2598 2681
1050 596 137
-495 2297 449
-183 -385 -1587
-1201 296 866
1986 -984 -1404
-600 -383 -2586
1266 -664 -75
184 856 -540
1332 -125 -2290
617 2292 1289
2603 -2443 -1472
2044 2790 -2194
273 -2667 1924
2644 -497 -2423
346 835 1429
-471 2301 -1086
1523 81 -2099
859 2859 -43
-1839 -2589 1027
-845 1624 2891
2520 1641 2626
-1952 2158 -1040
-2828 -447 -379
393 -56 -644
377 -2117 -1827
1213 -2301 -991
-16 -1238 2225
-123 -1059 -1605
634 -2099 -366
-388 2610 305
-673 -1852 -238
-2227 1146 2357
362 -1090 186
737 -2622 -2025
2226 -1217 2303
-1518 -1801 1917
286 -2708 1158
1313 -1996 -2056
-2669 -2469 1672
1300 1884 -2852
-1306 844 -1626
1569 346 552
502 619 -475
373 -2265 1662
-1958 2510 -117
1460 -2508 -916
2448 -949 2479
-207 -1576 1278
696 -508 2575
985 1497 2293
-2079 1341 464
-720 -1597 1240
-570 1913 -1377
-2297 2527 -1920
2998 -776 -2007
156 2735 619
755 -1600 -1266
2304 2210 579
-2169 -2721 -580
-436 2091 -133
1888 -2329 2814
2248 325 -500
550 -1907 2593
-642 -2740 -2419
-600 -75 2664
2745 904 -1451
-2643 -2535 329
995 81 -2350
-1350 -1169 2408
-2697 79 1803
2925 -948 -1076
-419 -2049 1130
2931 -1759 -2589
1379 1083 1356
1024 2276 1316
2060 -2667 -1865
1972 -1970 1174
2629 -695 1304
2810 2403 -1733
-377 -600 -2506
-2604 -1047 1387
-2267 992 -1588
-2597 1749 466
2737 755 -717
-1496 2997 -1418
-872 2015 2026
-62 2971 -2222
-2831 452 -920
-921 -2273 -1977
-207 190 2090
-913 -2549 -1770
989 -1684 -1872
1385 -2495 -364
-151 999 622
892 705 2220
1486 1765 -140
2372 -2539 1500
-273 -683 -1265
-297 -1832 2402
-2856 -2299 -1645
-173 1167 -2055
2967 1084 -3
-2145 2979 2371
2167 2285 489
810 1257 -2313
-1049 2070 1265
1663 525 2990
-1226 2305 -881
1781 14 -189
316 179 776
-2110 2506 2235
-505 2290 2201
-1225 658 -2116
-657 -1457 2930
-1706 1881 2143
1170 370 983
-2645 797 -1649
2937 -2194 257
430 289 1180
2483 29 -94
1712 -2624 2095
225 1369 1078
-2159 -1705 -635
-1537 465 -1812
-55 -71 -2304
-1127 -1691 -2974
-2879 732 2733
2291 -799 1701
2412 -399 -2191
2545 -594 1428
-2922 2667 2044
606 -147 1467
369 -2834 -2082
-2749 -1716 -479
-2245 -2142 -1346
-1107 -1310 -2288
-740 -912 154
-901 -2246 1875
-2983 -950 850
-2943 2722 -1893
1483 1446 918
-893 2213 2460
1912 337 1757
2022 1968 1011
-1595 -1665 1235
-2998 -1808 -1085
-2772 -128 157
2143 432 2957
1289 -2611 1383
-2313 -1693 2674
634 2019 -2357
-821 1365 94
-2910 -1922 46
-1619 -1039 2141
-1362 -1981 -929
2354 213 508
88 -939 -673
2580 -234 -1185
-942 1645 -2997
1057 -2113 961
2791 686 2812
793 986 1027
-2860 1035 1072
2821 2745 1066
2813 -1255 -2439
-2799 -1983 1484
-506 -942 1795
2587 2815 -2330
1581 624 -1223
2099 1748 -898
-1844 2032 1409
2322 600 -2215
2730 -2093 -1652
-706 -363 -526
2667 89 -1407
-54 -2796 932
2683 -2768 129
-2581 -1941 1712
-1820 536 2736
-2770 2594 -2593
2288 247 2202
-948 95 -1143
-2194 -748 630
-2864 -2923 711
1685 1016 -431
-955 -2440 -1813
1350 1871 980
-1518 672 -20
-1166 -1948 1908
2835 -2973 2961
2196 2294 -2714
1200 2030 -1937
-400 -11 624
-1066 -1457 2854
-2910 -1732 -1079
174 -2359 744
3 -603 -1840
-451 2889 1012
-2371 2787 -2937
2400 -1645 -1520
-767 -643 1920
2543 355 2824
536 199 -317
363 540 -2604
-2802 2758 -45
-2210 2289 -2309
-544 -1454 -1058
2286 1001 2803
2935 280 -2342
-2584 -2221 2782
-451 2436 2299
1685 -1530 2604
985 805 -356
2792 817 -1101
-2394 1638 203
981 -184 773
-652 970 365
-305 1722 -1105
1208 -835 2769
-1208 414 2506
497 -2730 -377
294 -1122 2481
-2167 1964 1156
2493 481 1555
1991 -1756 -1566
820 -834 2699
-1066 1316 464
1411 647 -2446
-1785 1896 588
2890 2891 -750
1094 -1736 -2715
-294 2772 1423
2812 587 2700
399 -151 2375
1244 1031 1830
-1900 -1075 -1093
-2811 -1230 206
-547 -695 2005
2668 2420 -2484
1505 -2784 -2017
-2065 2072 -923
-325 -1488 -958
100 2274 1041
-1822 1917 1810
-2822 -1676 312
1834 -1220 -1117
-2584 1586 462
-2477 2767 2135
-695 664 2740
487 1289 2188
-1532 1893 2557
1111 2627 -1700
-2260 2554 -2144
892 2095 -2761
-2875 -812 -543
-2090 -418 349
-2556 -2622 120
-1260 -562 2497
1800 -347 2141
1455 2213 2920
1889 -2806 761
-2077 -691 2824
-145 -75 2712
-2116 -2873 -1867
868 2652 -1335
2822 -1766 1081
-927 -1093 -122
2377 -1889 2722
948 1928 191
-292 -555 -43
-751 -2872 1370
1373 -2166 -1420
2556 -1675 1423
441 -583 -2721
179 -2215 -870
-2815 -1786 -2424
-618 -1750 -582
2292 2871 -828
-613 -130 872
-477 841 1078
1431 -2790 2191
-116 2881 827
1198 -1542 -2259
-2985 -70 -1342
-2747 395 -1905
-1713 -2693 -2729
938 -1072 -642
78 2944 -2740
2841 2995 646
1687 1377 2632
-2760 -1628 327
-1011 -2626 151
2437 2469 2159
-1624 -1386 -2280
-2393 569 1811
2158 -1003 1652
269 -191 612
2370 850 -2950
-1788 731 1974
-2277 621 -1087
1487 -1714 2686
2807 -1526 2468
-984 -2841 -233
642 1954 -575
-675 -2606 1672
1912 712 -244
-1406 2772 -1888
-1193 -2266 -1409
-455 243 -2261
-2410 392 -46
-64 1818 -2563
1098 6 2755
2316 -2622 2406
2451 1899 225
-2450 -1975 570
2370 2031 -165
1601 681 577
1989 -1976 -2135
1921 -2502 65
-2755 2404 1146
2115 659 606
-744 -2758 -2768
2695 -2354 -2327
258 476 -1799
2345 1840 137
824 2235 1889
1765 -793 -2812
-1586 -2388 1996
859 -551 1719
-2714 -1904 -191
-305 1263 1440
-2432 897 -1827
-497 -449 1813
-1092 2926 -1138
-2992 -1526 2058
879 -1597 -1398
1329 -2605 -2193
-1492 -2877 2128
1663 -158 -2948
2461 -161 2394
-2743 -1914 1635
-2394 -563 1022
1502 -210 2966
-2647 -1690 -416
1235 609 -2071
-1432 -1951 753
-2466 -425 2039
-348 2654 685
-588 1282 2570
312 -2773 -1205
307 847 930
-1471 -39 -2486
-126 -973 -728
952 -2779 730
2972 2429 2641
-2787 -906 1715
2959 827 -246
-2083 -147 -702
2331 -1876 2742
344 2218 2983
-311 -377 -368
2184 -1644 -1057
1645 1647 1419
2909 -1772 2587
2984 -2314 124
-1161 789 431
-1581 586 -188
2976 -634 -411
-334 2161 2983
1123 2239 2203
-878 2220 2446
2094 -966 -41
2237 635 931
2919 -2118 -2875
-1378 1090 -1007
2635 -2038 2824
83 2507 395
-2360 -379 2806
-386 2996 -88
-1451 159 -1471
2482 -2228 -931
-2413 -69 834
1962 261 -1572
1945 1558 -2773
-1755 -568 2506
525 1988 -1053
550 -1972 1519
608 -273 -806
2268 -140 -1687
2266 1139 35
1271 1243 1188
207 -28 -1572
-1379 2334 2765
-1643 -2826 1742
2287 553 -214
1201 1674 -1505
1176 1539 -1017
-2872 -380 -789
-1081 -2012 -1089
-2235 1090 -1853
-678 -909 -1884
-971 1259 -1403
-75 2196 1521
997 2958 1874
1438 -1923 358
-845 1551 1491
2199 -1381 -2044
-2976 100 2035
2086 -2803 534
-765 2911 1774
-2801 -219 2072
390 -444 2404
2789 -840 1453
-114 2505 1632
2267 -698 77
-523 2598 -2350
1799 -1569 -202
768 344 -2575
1300 2126 472
576 2759 1338
-2811 -567 845
-1067 951 677
589 -36 28
-478 2710 2746
1096 -1926 1440
874 1298 -1072
1860 1346 -827
370 860 860
-2936 -69 2667
2996 539 -928
2754 -2899 937
-626 -1543 -171
-2913 -2459 734
1983 1007 1575
2070 84 -2648
-1323 -1083 -1798
1943 -2954 925
-1758 -2718 1437
2929 -374 -1666
2105 -2978 990
-382 -1057 -1036
-1029 -1786 269
-2897 2952 -210
1726 -1235 -1384
-1190 -174 -470
2628 -2121 1523
-1062 941 -603
-555 509 1224
2746 -2470 -1437
2313 121 -1754
-366 2178 2393
2203 385 -2780
-2073 -2581 -1201
-2703 -1504 -1233
77 -1445 2757
174 -48 2697
-1019 -135 -2768
1520 547 -628
2852 -2793 1362
-2115 592 225
2639 1396 2481
11 986 -2416
2208 847 2332
-454 -1416 -557
-1718 623 954
-185 -2795 2007
1585 -492 -1446
-2704 -1673 -14
-2107 2418 1736
-2348 -2901 1802
-1406 882 -939
1169 2193 2123
1779 -1104 323
2200 901 66
2283 2990 -2741
2461 16 1908
-2826 -319 974
1250 -1093 2706
-404 453 1124
-1953 -1110 -1826
-657 -2474 1573
1745 199 939
2296 1367 -2395
-1843 -825 -2099
41 214 1771
1012 -2948 -184
2168 2924 -135
-1208 2385 2646
2691 -2427 -1484
834 -2544 -2207
-429 -790 -1515
-1396 1398 -1166
-572 1471 383
-2504 -2348 2775
994 -663 -1886
2798 1867 -1080
-183 2339 -493
1188 -2608 2437
-965 2529 1904
2491 -655 1472
-252 -2242 -2897
-2794 -363 1208
-1996 1968 -2398
-1386 -561 -2444
319 -2319 2033
-36 -2565 -83
-2990 -1779 -130
-2367 -924 -1844
362 -1199 2791
1282 -292 -827
-249 -2331 1903
-2880 632 879
-84 268 -1106
-2253 423 1320
-2558 -1483 2756
-1188 2819 -1759
-892 2395 1475
1069 -1356 1909
823 -1772 -1830
-2754 1359 -2648
1829 168 2510
-813 -2191 -1492
1124 1993 2093
-807 2162 -2994
1439 1685 -2528
2356 -590 2325
-367 1831 -2332
-856 1469 1479
-2863 -2667 -487
-374 -583 1391
2551 2958 1270
-790 -2296 -1672
2810 1967 -2065
2944 -1251 962
-2161 -298 -2545
2126 -1044 -1384
-2577 -1379 -616
2230 1965 -848
-2906 -501 2446
1633 2543 -2518
2094 123 -1169
-2841 -2151 2091
-2499 -775 -1595
1184 65 2909
-2568 -2930 -1348
-1519 1667 427
-2412 2257 2539
-822 -459 868
2778 -2775 599
-462 365 734
754 -1744 -2723
1530 -1887 2699
-1724 -1829 1030
-1902 1712 -387
410 2978 1992
2299 -2455 -2702
854 -441 -1413
2520 -2111 -2718
1056 -338 -81
1537 2304 -1343
2115 886 875
66 31 -2154
1803 -2819 2745
-117 -2671 1303
-2671 597 2419
2859 273 -1558
718 1632 1054
-723 -936 -1174
179 1711 -2618
40 743 129
1301 318 946
-2643 -2533 -1073
1735 1346 159
2729 2072 -917
1606 -1830 -826
1273 1408 2072
-2349 -1410 -2650
-2914 63 -1414
-2436 -1404 -2479
916 953 2411
-1266 -796 2680
-304 -135 705
-2865 -1171 2527
-1237 1240 1983
2682 2917 926
911 740 -2843
-1526 -2472 1242
1059 -1743 2163
-697 2491 930
1799 -1309 -1963
845 1388 -519
-1458 -111 912
-224 -1344 1662
-2919 -890 -1198
1207 2045 561
-132 860 -1876
891 741 -1654
-2057 24 -2240
2405 -2782 2487
-925 -42 1222
1063 913 1095
-2329 -2224 -2912
2354 1804 1992
2824 1102 -1683
2499 -492 2240
-208 1758 1519
-1813 -1656 2089
345 -125 -1048
-1782 1723 -326
2735 -1578 -2887
2224 2666 2133
-159 -1407 1300
1676 -1778 -1505
-2451 -2597 1924
2479 495 -2485
-2826 1660 -2971
1478 1742 1180
-1332 1533 2309
2131 -1950 1624
172 -11 -2137
2809 1009 1537
790 1321 -2151
872 97 550
1766 -1018 -1089
1010 -2064 1936
237 -906 2605
1606 -305 218
-1012 -2048 -2432
1641 1322 -2168
-1202 2136 240
-1290 2677 -2406
387 2905 1317
272 -1738 -2103
2853 2177 2264
-2557 -553 -859
-2071 687 -676
-1243 1697 -1291
1472 870 -2821
-2705 -415 2982
-1931 -2353 -427
701 -2809 -2718
-685 2975 -735
-2855 -1946 1648
-2853 1575 1047
-2244 243 43
-2659 -281 423
2617 -217 -1721
-1844 622 -1678
1202 2434 2854
-2133 -399 350
-702 1883 347
-1298 85 -682
1128 2902 -2011
-2633 -1413 -2263
-1757 341 -2908
547 -1586 -539
1743 568 -1367
1014 2908 377
2889 229 1598
-865 2369 -2302
-1517 600 -305
1932 424 605
-907 2271 2359
2590 1473 2860
-1697 967 2205
2828 -2933 558
-1 -2716 2001
-463 -1652 -1914
1395 -372 -1035
-2338 2124 -1343
1840 1592 -1902
-2283 -1046 2334
1079 -613 2516
2296 -1156 -1124
-1178 311 -80
157 869 1136
-2294 1142 437
-348 -541 -1976
2124 1332 -713
-535 1109 -90
-361 2490 2374
596 1072 72
-1733 784 839
424 -1867 -1968
-2760 -247 -1048
1881 40 1889
1795 824 2497
2700 2655 1103
-1554 990 2096
1271 -1817 2470
-499 -174 -686
-2913 -2268 -148
1295 -2671 -2956
-1888 2824 698
2709 -1722 -631
-571 -1147 -1619
-2486 -751 -2883
-660 1715 2454
155 1150 384
2106 2478 636
-2264 -1750 2511
-2436 441 1849
-1452 -2405 1931
278 -1752 -2645
-1173 -795 -930
1356 -1366 2735
893 -1919 1651
1669 -7 1761
80 -2635 491
-2313 -471 -1813
207 -706 -2907
-854 1638 -1637
-1031 -206 2314
1969 -748 2346
172 104 538
1858 1706 -2303
1179 1447 -1359
2972 -1144 -2551
2651 -98 -1117
-963 -1219 -354
684 2863 -2327
1443 -2200 -1847
-658 725 233
-1895 -2517 405
-606 2106 2381
-1162 -2620 2184
-1515 1142 1606
2484 -2760 1040
-2599 -427 -2810
-67 1798 -1058
-324 -2256 2029
-2400 2136 978
-2940 488 -1176
-2698 -2599 -2954
-2339 1309 466
-695 2655 1925
753 1816 -2405
2099 -950 -1954
-2471 -2864 -357
2012 -73 1671
-1315 506 1000
-1217 1529 -2960
2288 -2050 769
-1637 909 -720
655 865 2908
2084 -1984 2852
1508 -471 -2170
-540 2539 474
1288 -968 -1461
-2126 -1107 351
-2935 -2916 -2368
-2239 2755 -717
-725 2119 -23
-2412 1125 -232
-1566 51 2215
-1516 -2254 402
2619 2368 -1086
-2371 -34 -1409
-2500 -2550 62
-1389 2694 -2670
-2795 -2147 -505
2323 -2323 675
1858 -2137 -1667
-1875 -656 932
2354 2504 -1768
-2644 2982 1524
-2527 2365 1330
-825 -2188 157
1913 -2216 -797
-2962 -467 2029
2248 -1795 -685
-402 2589 -1624
-1991 1389 -968
328 -2706 97
-553 -1865 -82
2630 2610 -2534
-926 2050 -2824
-92 -1189 -1915
1637 -1310 -1008
1314 1057 -2593
-1870 -754 -437
-753 -2171 1123
1882 -1234 141
-1282 274 1155
-1387 -1923 -2281
1370 153 -596
2337 2797 1103
893 1810 -2402
834 482 2573
-1033 1325 189
-2312 -1889 643
326 -1401 5
-1039 2160 2667
-1133 2548 1631
727 -726 1391
147 1529 276
-1032 2630 -2047
2781 761 -2688
664 -2350 -76
-945 -75 2255
501 731 -1855
-1253 -377 2450
1439 62 2038
2907 2681 -2929
-2985 -1503 -583
-2463 -438 -278
2355 2931 -1262
-2045 882 2456
-497 158 -501
-2695 1263 -1746
1826 1213 -2617
-2987 -1064 125
-2727 -1799 -2047
2993 -679 1446
-689 -483 405
-2131 -319 -2849
-380 -935 913
139 323 -1526
-1956 1421 -51
1724 -405 1091
301 -2598 -2988
1586 2764 2966
931 -820 348
1033 1794 1866
1671 -2577 -1143
2496 19 -2271
2756 421 -1697
-1184 -2773 -854
-1970 -719 -432
-1050 -1766 -140
-1112 -620 1174
-935 -2318 -820
-1143 2708 -88
49 -263 1754
-935 225 1301
1744 2526 224
736 -1932 -1263
151 2311 -1357
-2182 -2655 -2310
-1881 -1032 2032
2507 949 -550
2962 -1873 -2242
-1926 2161 -2369
1026 -1787 446
-1085 -618 1511
-639 -1436 -1992
2620 1843 1174
727 544 1638
780 2532 -1867
-1159 -2276 -2055
-2855 -1313 -2948
-2455 242 935
299 2108 -2015
-379 -447 -1845
1969 1249 766
2870 -2067 1813
2803 167 314
2845 -610 -1722
-1899 1145 -1468
-25 681 2715
1968 1238 2236
723 -1151 660
-995 -1161 716
-2403 -330 2706
-637 663 -1473
-2295 -248 238
1192 333 -267
2880 1951 -1914
498 -951 2432
-2984 -778 1894
-2611 1835 731
-2067 1431 -2832
-1751 1306 -156
1510 -1531 -2242
624 -2388 2035
1179 1048 947
-1925 -1504 1350
1085 159 -2100
-1292 -2098 786
-704 -265 -2763
-2360 1207 -1126
1917 -2212 1847
-2318 208 -592
-1721 -1748 -130
178 731 954
-1373 375 1515
195 2449 1916
964 -2704 1837
-1717 -803 1488
-1969 2651 -1586
855 -993 -247
-1251 -2573 -432
-64 1153 -793
-1682 613 1633
-2230 1580 -2703
-2600 -2230 1599
754 1481 -2366
710 -1180 80
687 -412 -854
1287 -2140 582
263 579 2084
-485 834 118
1889 -781 -2376
785 965 2709
1584 344 -2643
-1009 1949 -2534
418 2555 2084
-1708 318 -1825
-2749 -1812 -1172
-1209 1900 -1017
-1462 -2761 -1733
17 2421 2025
1762 -1237 314
913 1711 2872
1997 -1727 -2774
-1264 1217 -610
-2180 -2219 1164
-187 -649 -1480
-2585 -56 1042
-901 1945 -2072
768 -1847 -514
1296 -612 904
122 1907 -1982
-1696 -257 1049
1293 -461 -2709
-759 -2834 -1590
2651 -1915 2743
531 2092 -2648
-1251 -1926 2144
2905 -674 2647
-1082 2068 2733
2632 -15 -2554
246 1478 684
608 -2864 -1770
-1688 1672 -1527
-1240 856 -1748
-613 2577 -684
731 -1470 -15
-227 2387 1548
-1296 2581 -895
-1490 -280 1630
-2971 2428 57
-2483 -1162 -2308
291 2554 -2324
2583 308 -2744
-388 852 -2384
2179 214 2275
-1372 2983 2593
1278 -1906 1235
1787 -1727 2546
1934 1529 659
-2662 -1678 -2284
2838 2176 2644
2006 308 -2686
-261 -28 -2338
-2518 1970 2879
2867 2451 352
2784 -2175 2858
-1707 373 777
634 646 -2883
5 592 117
-1022 872 -2511
-783 1942 107
-1982 2191 989
177 -868 -987
-944 1945 673
1391 -112 2191
-1419 -2933 -1191
737 -1708 -1927
792 506 -1977
2863 2405 -2181
-311 -666 2716
2439 344 -2507
2213 1743 -817
-1828 633 2986
-1831 1565 -753
2244 1295 1984
258 1244 2310
1683 1950 -330
499 -2650 2267
1927 -1325 -1378
1348 -874 273
-1277 -2244 2577
2586 2529 -1932
-405 -895 -2628
2280 228 330
2707 1048 357
-2595 -2600 1717
-741 -1308 -130
1981 1817 1865
-1451 -1795 -1186
2951 2703 -1104
-1291 2150 2543
1072 2921 -931
2324 -2261 2192
-904 1675 2597
1353 1400 -2295
-96 -488 -2858
-1150 -2327 -1177
-2400 -10 -1145
2920 481 1645
-259 2689 -614
1243 2455 382
2383 1429 1307
871 2530 -383
-2159 -996 799
2381 2233 646
2251 -2809 2792
-2652 -31 -114
405 -2612 -1591
2099 -1237 1297
2250 1404 -1941
446 2320 -2711
1356 2035 -2870
-283 2061 571
1334 -1716 -269
314 -1696 2781
-678 -2880 -212
700 -1487 -1134
2083 900 -2109
-2702 -859 -1680
314 -2153 2899
-1846 2206 1879
102 2061 1721
-62 -2698 -1993
-1221 2694 962
-2689 -691 552
-2192 -2287 -2322
2000 -1170 314
-1284 -1911 1970
-2562 2053 -2972
791 -600 -1151
2000 -49 -2818
744 -1362 -2095
1412 -2826 2644
-2203 -1491 -1102
2325 676 -81
-1963 -2961 1644
-1027 -2954 554
2042 1427 1119
2650 2282 -1831
-2896 -367 -1605
2003 -1789 2090
1639 209 2233
1175 1198 1463
615 -2761 -2504
1035 2457 -872
2345 2575 -2494
1088 -1148 -680
853 -1005 -2639
1383 -1566 2259
-2479 -795 2290
-2247 -402 -1798
2408 1191 411
-1792 1223 -620
2675 1476 2416
-1633 -2410 55
2626 501 2075
-892 2131 -2388
299 822 457
